id,评论页码,评论id,评论时间,评论点赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4792914813387718,141,4792970153034870,2022-07-19 15:43:16,3,来自广东,屎壳郎铲屎官,6758138838,f,112,63,就等她重新更新，等了好久
4792914813387718,143,4792971210526654,2022-07-19 15:47:28,1,来自江苏,那悲伤沫念,5653283067,f,382,82,希望子7⃣️能赢，加油
4792914813387718,145,4792972824543509,2022-07-19 15:53:52,0,来自山东,V超时空蓝染V,6753349785,m,213,32,#李子柒#  希望可以再看到她的视频
4792914813387718,144,4792972224499758,2022-07-19 15:51:30,0,来自河南,2319tt,6502566526,f,119,2,挺喜欢，早日回归
4792914813387718,138,4792944295677516,2022-07-19 14:00:31,0,来自重庆,软萌灰兔兔,6527017673,m,48,114,人就是什么都想要（不排除你最后一句话也是勾引观众发评论的手段）
4792914813387718,134,4792929094209349,2022-07-19 13:00:07,0,来自江苏,沙式比亚猪,7610457282,f,76,6,李子柒？
4792913814360467,1,4792974397673754,2022-07-19 16:00:08,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792911403421279,1,4792912309390442,2022-07-19 11:53:25,4,来自甘肃,芽芽和鼠标仔炒鸡可爱,7733364559,f,76,4,李子柒是我初高中在语文作业里面看过的人，还写过关于她的作文，怎么可能不知道
4792911403421279,114,4792971910186492,2022-07-19 15:50:15,0,,超话社区,5878659096,m,273,2.34亿,你好，你感兴趣的“李子柒”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 李子柒
4792232547455269,1,4792990395271937,2022-07-19 17:03:42,0,来自四川,小高能,1856015474,m,141,4316,早就没有公信力了 信任危机
4791283820272764,1,4791975816992411,2022-07-16 21:52:08,0,来自广东,古香古食龙哥,7606898843,m,7,0,别拉上李子柒，李子柒的号在她手上，她不想更新给杭州公司带流量，因为对方拿走了合资公司李子柒品牌，正打官司呢！谭某当然就是侵权了，
4791190497792043,1,4791191079751125,2022-07-14 17:53:52,3,来自河南,卓卓Wenxin,3449558360,f,733,626,这可有点让我为难了
4791190497792043,7,4791193684678102,2022-07-14 18:04:13,2,来自江苏,甜甜的多巴胺呢,6421961719,f,348,117,还是持续的关注着吧
4791190497792043,14,4792166121215005,2022-07-17 10:28:20,0,来自重庆,请叫我MrDecide,2993408727,m,548,148,天地之间有杆秤，大秤砣是老百姓
4791190497792043,8,4791193734748402,2022-07-14 18:04:25,1,来自山西,射手座的宸揰,5382359794,m,1062,142,咱也不懂，坐等回应吧
